Korece,Türkçe,Kelime Türü Türkçesi,Kelime Türü Korecesi,Kullanım Notu,Seviye
걷다,yürümek,fiil,동,Yaya olarak hareket etmek,A
걸다,asmak,fiil,동,Bir şeyi asılı bırakmak,A
걸어가다,yürüyerek gitmek,fiil,동,Yaya olarak bir yere gitmek,A
걸어오다,yürüyerek gelmek,fiil,동,Yaya olarak gelmek,A
검은색,siyah,isim,명,Renk olarak siyah,A
것,şey,isim,의,Belirli olmayan nesne veya varlık,A
게임,oyun,isim,명,Eğlence amacıyla oynanan etkinlik,A
겨울,kış,isim,명,Mevsim olarak kış,A
결혼,evlilik,isim,명,"Nikah, evlilik ilişkisi",A
결혼식,düğün,isim,명,Evlilik töreni,A
결혼하다,evlenmek,fiil,동,Evlilik yapmak,A
경복궁,Gyeongbok Sarayı,isim,고,Seul’deki tarihi saray,A
경찰,polis,isim,명,"Emniyet teşkilatı, kolluk kuvveti",A
경찰관,polis memuru,isim,명,Kolluk görevlisi,A
경찰서,polis merkezi,isim,명,Polis karakolunun bulunduğu yer,A
경치,manzara,isim,명,Doğa veya şehir manzarası,A
계란,yumurta,isim,명,"Yumurta, gıda maddesi",A
계속,sürekli,zarf,부,"Aralıksız, durmaksızın devam eden",A
계시다,bulunmak,fiil,동,Saygı ifadesiyle yerinde olmak,A
계시다,ikamet etmek,fiil,보,Saygı ifadesiyle ikamet etmek,A
계절,mevsim,isim,명,Yılın dört mevsimi,A
계획,plan,isim,명,Bir proje veya taslak,A
고기,et,isim,명,Yemek için hayvansal ürün,A
고등학교,lise,isim,명,Ortaöğretim kurumu,A
고등학생,lise öğrencisi,isim,명,Lise düzeyindeki öğrenci,A
고맙다,minnettar olmak,fiil,형,"Minnettar olmak, teşekkür duymak",A
고모,hala,İsim,명,Babanın kız kardeşi.,A
고모부,enişte,İsim,명,Halanın eşi.,A
고속버스,ekspres otobüs,İsim,명,Şehirler arası hızlı otobüs seferleri için kullanılan terim.,A
고양이,kedi,isim,명,Evcil hayvan,A
고추장,gochujang (acı biber ezmesi),İsim,명,Kore mutfağında kullanılan geleneksel acı biber ezmesi.,A
고프다,aç olmak,fiil,형,Yemek yemeye ihtiyaç duymak,A
고프다,aç (acıkmış),Sıfat,형,Açlık hissini ifade eder. Genellikle 배가 고프다 (karnı aç olmak) şeklinde kullanılır.,A
고향,memleket,isim,명,"Doğup büyüdüğün yer, vatan",A
곧,yakında,zarf,부,Kısa süre içinde,A
골목,ara sokak,İsim,명,Binalar arasındaki dar sokak veya geçit.,A
곱다,"(eski) güzel, nazik",Sıfat,형,"Günlük dilde nadiren kullanılır, edebî bir terimdir.",A
곳,yer,isim,명,Belirli bir mekan veya nokta,A
공,top,isim,명,Yuvarlak oyun nesnesi,A
공간,"mekân, boşluk",İsim,명,Fiziksel veya soyut bir boşluk.,A
공기,hava,İsim,명,Solunan atmosferik hava.,A
공무원,devlet memuru,İsim,명,Devlet kurumlarında çalışan görevli.,A
공부,çalışma,isim,명,"Bilgi edinme, ders çalışma süreci",A
공부하다,çalışmak,fiil,동,"Öğrenmek, ders çalışmak",A
공원,park,isim,명,Açık hava dinlenme alanı,A
공중전화,kamu telefonu,isim,명,Halka açık telefon,A
공중전화,ankesörlü telefon,İsim,명,"Halkın kullanımına açık, genellikle jeton veya kartla çalışan telefon.",A
공짜,bedava,İsim (argo),명,"Günlük dilde ""ücretsiz"" anlamına gelen argo bir kelime.",A
공책,defter,isim,명,Not almak için kullanılan defter,A
공항,havaalanı,isim,명,Uçak seferlerinin gerçekleştiği yer,A
공휴일,resmi tatil,isim,명,Devlet tarafından belirlenen tatil günü,A
공휴일,resmî tatil,İsim,명,Devlet tarafından belirlenen tatil günleri için kullanılır.,A
과,ders,isim,명,Eğitimde alınan ders veya bölüm,A
과,ders; bölüm,İsim,명,Üniversitede akademik bölüm veya okul dersi anlamında kullanılır.,A
과거,geçmiş,İsim,명,Geçmiş zaman veya olayları ifade eder.,A
과일,meyve,isim,명,Yenilebilir meyve,A
과자,atıştırmalık,isim,명,"Tatlı veya tuzlu, aperatif gıda",A
과학,bilim,İsim,명,Fen bilimleri ve bilimsel çalışmalar için kullanılan terim.,A
관계,ilişki,İsim,명,Kişiler veya şeyler arasındaki bağ.,A
광고,"reklam, ilan",İsim,명,Tanıtım veya duyuru amaçlı içerikler için kullanılır.,A
괜찮다,iyi olmak,fiil,형,Durumun uygun veya sorun olmadığını ifade eder,A
교과서,ders kitabı,isim,명,Okullarda kullanılan eğitim kitabı,A
교수,öğretim,isim,명,"Ders verme, bilgi aktarım süreci (öğretim)",A
교실,sınıf,isim,명,Okulda ders verilen oda,A
교통,ulaşım,isim,명,"Trafik, taşıma",A
교회,kilise,isim,명,"İbadet yeri, Hristiyan kilisesi",A
구,9,sayı,수,"Rakam, 9 sayısı",A
구경,gezinti,isim,명,"Gezerek seyretme keyfi, tur",A
구두,ayakkabı,isim,명,Özellikle resmi kullanımda tercih edilen ayakkabı,A
구름,bulut,isim,명,Gökyüzündeki su buharı topluluğu,A
구십,90,sayı,수,90 sayısını ifade eder,A
구월,Eylül,isim,명,Takvim aylarından biri,A
군인,asker,isim,명,Silahlı kuvvet mensubu,A
권,cilt,isim,의,Kitap veya seri eser cildi,A
귀,kulak,isim,명,Duyma organı,A
그,o,belirteç,관,Belirli nesneyi işaret eden sözcük,A
그거,şu şey,zamir,대,İşaret ettiği nesneyi belirtir.,A
그것,şey,zamir,대,Belirli olmayan nesneyi ifade eder.,A
그곳,orada,zamir,대,Belirli bir yeri işaret etmek için kullanılır.,A
그날,o gün,isim,명,Belirli bir günü belirtmek için kullanılır.,A
그동안,o süre boyunca,isim,명,Belirli bir zaman aralığını ifade eder.,A
그때,o zaman,isim,명,Geçmişte veya gelecekte belli bir anı ifade eder.,A
그래,evet,ünlem,불,"Onaylama, olumlu yanıt verme ifadesidir.",A
그래도,"yine de, rağmen",zarf,부,Zıt koşullarda “yine de” ifadesi verir.,A
그래서,bu yüzden,zarf,부,Nedensellik ilişkisi kurar.,A
그래서,dolayısıyla,zarf,불,Nedensellik belirtirken kullanılır.,A
그러나,ancak,zarf,부,Çelişen durumları belirtirken kullanılır.,A
그러니까,yani,zarf,부,Açıklama ya da sonuç çıkarımında kullanılır.,A
그러면,öyleyse,zarf,부,Koşul cümlelerinde sonucu ifade eder.,A
그런데,ama,zarf,부,Konuşma dilinde zıtlık bildirir.,A
그럼,elbette,zarf,부,Kesinlik veya onay ifade eder.,A
그럼,öyleyse,ünlem,감,Gayri resmi onay ya da şaşkınlık ifadesi olarak kullanılır.,A
그렇다,öyle olmak,sıfat (fiil olarak),형,Bir durumun doğru olduğunu ifade eder. (Sıfat-fiil kullanımı),A
그렇다면,"öyleyse, eğer öyleyse",zarf,부,Sonuç çıkarmada veya öneride kullanılır.,A
그렇지만,fakat,zarf,부,İki cümle arasında zıtlık bildirir.,A
그릇,tabak,isim,명,Yiyecek için kullanılan kap.,A
그리고,ve,zarf,부,Cümleleri birbirine bağlar.,A
그리다,çizmek,fiil,동,Resim yapmak anlamında kullanılır.,A
그림,resim,isim,명,Görsel sanat ürünü veya fotoğraf.,A
그분,o kişi,zamir,대,Saygı ifadesiyle belirli bir kişiyi işaret eder.,A
그쪽,o taraf,zamir,대,Belirli bir yön veya grubun ifadesinde kullanılır.,A
극장,tiyatro,isim,명,Tiyatro gösterilerinin yapıldığı mekan.,A
근처,yakın çevre,isim,명,Bir yerin etrafındaki alanı ifade eder.,A
금요일,cuma,isim,명,Haftanın beşinci günü.,A
급,sınıf,isim,명,Eğitim veya derece belirtiminde kullanılır.,A
기념일,"yıldönümü, anma günü",isim,명,"Özel günlerin, anma veya kutlama günlerinin ifadesi.",A
기다리다,beklemek,fiil,동,Bir şeyin gerçekleşmesini beklemek.,A
기분,ruh hali,isim,명,Duygu veya his durumunu ifade eder.,A
기숙사,yurt,isim,명,Öğrencilerin konakladığı yurt veya yurt benzeri yer.,A
기억하다,hatırlamak,fiil,동,Geçmiş anıları veya bilgileri hatırlamak için kullanılır.,A
기차,tren,isim,명,Raylı ulaşım aracı.,A
길,yol,isim,명,Karayolu veya sokak anlamında kullanılır.,A
길다,uzun olmak,sıfat (fiil olarak),형,Boyut veya süre olarak uzunluğu ifade eder.,A
김밥,kimbap,isim,명,Deniz yosunu içine sarılmış pilav ve malzemeden oluşur.,A
김치,kimçi,isim,명,"Fermente, baharatlı lahana yemeği.",A
깊다,derin olmak,sıfat (fiil),형,Mekân veya soyut kavramların derinliğini ifade eder.,A
깎다,kesmek,fiil,동,Bir şeyi keskin veya küçük parçalara ayırmak.,A
깨끗하다,temiz olmak,sıfat (fiil olarak),형,Hijyen veya saflığı belirtir.,A
꼭,kesinlikle,zarf,부,Vurgulama veya kesinlik ifade eder.,A
꽃,çiçek,isim,명,Bitkilerin renkli üreme organı.,A
꿈,rüya,isim,명,Uyku sırasında görülen görsel ve duyusal deneyim.,A
끄다,söndürmek,fiil,동,Işığı ya da ateşi kapatmak için kullanılır.,A
끝,son,isim,명,Bir şeyin tamamlandığını belirtir.,A
끝나다,son bulmak,fiil,동,Sürecin tamamlanmasını ifade eder.,A
끝내다,bitirmek,fiil,동,Bir eylemi tamamlamak.,A
나,ben,zamir,대,Birinci tekil şahıs zamiri.,A
나가다,dışarı çıkmak,fiil,동,Evden veya kapalı alandan çıkmak.,A
나가다,ilerlemek,fiil,보,Hareketin devam ettiğini veya ilerlediğini ifade eder.,A
나다,meydana gelmek,fiil,동,Bir şeyin ortaya çıktığını veya meydana geldiğini belirtir.,A
나라,ülke,isim,명,Coğrafi ve siyasi varlık.,A
나무,ağaç,isim,명,"Odunsu, boyu uzun bitki.",A
나쁘다,kötü olmak,sıfat (fiil olarak),형,Olumsuz özellik veya durum belirtir.,A
나오다,çıkmak,fiil,동,Bir yerden dışarı çıkmak ya da ortaya çıkmak.,A
나이,yaş,isim,명,Bir kişinin veya nesnenin varoluş süresi.,A
나중,sonra,isim,명,Zamanın ileri bir noktasını belirtir.,A
낚시,olta balıkçılığı,İsim,명,Balık tutma etkinliği. Hobi veya meslek olarak yapılabilir.,A
날,gün,isim,명,Takvimdeki bir gün; süre birimi.,A
날다,uçmak,fiil,동,Havada hareket etmek.,A
날씨,hava,isim,명,Atmosferik durumları ifade eder.,A
날짜,tarih,isim,명,"Gün, ay, yıl kombinasyonunu belirtir.",A
남,güney; erkek,İsim,명,"Tek başına nadiren kullanılır, genellikle 남쪽 (güney) veya 남자 (erkek) kelimelerinde bulunur.",A
남녀,erkek ve kadın,isim,명,Cinsiyet ikilisini ifade eder.,A
남녀,kadın ve erkek,İsim,명,Her iki cinsiyeti birlikte ifade eden terim.,A
남대문,Namdaemun,isim,고,Seul’deki tarihi güney kapısını ifade eder.,A
남대문,Namdaemun (Büyük Güney Kapısı),İsim,고,Seul'de bulunan tarihi bir şehir kapısıdır. Genellikle 남대문시장 (Namdaemun Pazarı) ile birlikte anılır.,A
남대문시장,Namdaemun Pazarı,isim,고,Seul’ün ünlü ve tarihi pazar yeri.,A
남대문시장,Namdaemun Pazarı,İsim,고,Seul'deki ünlü bir açık pazarın adıdır.,A
남동생,erkek kardeş,isim,명,Genç erkek kardeşi ifade eder.,A
남동생,(erkek) küçük kardeş,İsim,명,Kişinin erkek küçük kardeşini ifade eder.,A
남북,kuzey ve güney,İsim,명,Genellikle Kore'nin Kuzey ve Güney bölgeleri arasındaki ilişkiler bağlamında kullanılır.,A
남성,erkek (cinsiyet),İsim,명,Resmî dilde erkek cinsiyetini ifade eder.,A
남자,erkek,isim,명,Yetişkin erkek veya erkek cinsiyet.,A
남쪽,güney,isim,명,Yön olarak güneyi belirtir.,A
남쪽,güney (yön),İsim,명,Coğrafi olarak güney yönünü veya bölgesini ifade eder.,A
남편,koca,isim,명,Kadının erkek eşi.,A
남학생,erkek öğrenci,isim,명,Erkek cinsiyetten öğrenci.,A
남학생,erkek öğrenci,İsim,명,Erkek öğrenci anlamına gelir.,A
낮,gündüz,isim,명,Günün aydınlık zamanı.,A
낮다,alçak olmak,sıfat (fiil olarak),형,Yükseklik veya seviyenin düşük olduğunu belirtir.,A
낮잠,şekerleme (gündüz uykusu),İsim,명,"Öğlen vakti kısa süreli uyku, kestirme.",A
내년,gelecek yıl,isim,명,Takvimde sonraki yıl.,A
내다,ödemek,fiil,동,Bir şeyin ücretini ödemek.,A
내다,üretmek,fiil,동,"Bir şeyi ortaya çıkarmak, üretmek.",A
내려가다,aşağı inmek,fiil,동,Bir yerin altına doğru hareket etmek.,A
내려오다,aşağı gelmek,fiil,동,Yüksek bir yerden aşağı doğru hareket etmek.,A
내리다,inmek,fiil,동,Bir şeyin düşerek veya inerek alçalmasını ifade eder.,A
내일,yarın,isim,명,Takvimde bir sonraki gün.,A
내일,yarın,zarf,부,Zaman zarfı olarak geleceği ifade eder.,A
냄비,tencere,İsim,명,Yemek pişirmek için kullanılan mutfak gereci.,A
냄새,koku,İsim,명,Bir nesnenin veya ortamın yayılan kokusu. Hem hoş hem de kötü kokular için kullanılabilir.,A
냉면,soğuk erişte,isim,명,"Genellikle yazın tüketilen, soğuk makarna yemeği.",A
냉장고,buzdolabı,isim,명,Gıdaların saklandığı soğuk cihaz.,A
너,sen,zamir,대,"İkinci tekil şahıs, samimi kullanıma yönelik.",A
너무,çok,zarf,부,Miktarı veya derecesi aşırı ifade eder.,A
넓다,geniş olmak,sıfat (fiil olarak),형,Alan veya yüzeyin geniş olduğunu belirtir.,A
넣다,koymak,fiil,동,Bir nesneyi içine yerleştirmek.,A
네,sen,belirteç,관,Kişiyi veya nesneyi belirtmede kullanılır (samimi ifadede).,A
네,evet,ünlem,감,Onaylama ifadesi olarak kullanılır.,A
넥타이,kravat,isim,명,Resmi giyim aksesuarı.,A
넷,dört,sayı,수,Miktarı belirtir.,A
넷째,dördüncü,sıfat,관,Sıralamada dördüncü olanı ifade eder.,A
년,yıl,ölçü birimi,의,Zamanın yıl cinsinden ölçüsünü belirtir.,A
노란색,sarı,isim,명,Renk olarak sarıyı ifade eder.,A
노래,şarkı,isim,명,Müzikal eser.,A
노래하다,şarkı söylemek,fiil,동,Ses çıkararak müzik icra etmek.,A
노트,not,isim,명,Kısa yazılı mesaj veya not defteri anlamında kullanılabilir.,A
놀다,oynamak,fiil,동,"Eğlenmek, oyun oynamak.",A
놀라다,şaşırmak,fiil,동,Beklenmedik durum karşısında hayrete düşmek.,A
높다,yüksek olmak,sıfat (fiil olarak),형,"Yükseklik, boyut veya seviyenin fazla olduğunu belirtir.",A
놓다,koymak,fiil,동,Bir şeyi belirli bir yere yerleştirmek.,A
누구,kim,zamir,대,Soru zamiri; kişiyi sorgulamak için kullanılır.,A
누나,abla,isim,명,Erkeklerin ablası için kullandığı hitap ifadesi.,A
눈,göz,isim,명,Görme organı.,A
눈,kar,isim,명,Atmosferden düşen buz kristalleri; kış mevsiminde görülür.,A
눈물,gözyaşı,isim,명,Duygu veya irritasyon sonucu gözden akan sıvı.,A
뉴스,haber,isim,명,Güncel olayların bildirimi.,A
늦다,geç kalmak,fiil,동,Randevuya ya da belirli bir zamana yetişememek.,A
늦다,geç olmak,sıfat,형,"Zaman açısından erken olmayan, geç olan durum.",A
다,tüm,isim,명,Bütün öğeleri ifade eder.,A
다,her şey,zarf,부,"Her şeyi kapsayan, bütün anlamında kullanılır.",A
다녀오다,kısa ziyarete gitmek,fiil,동,Kısa süreli gidip gelme eylemini ifade eder.,A
다니다,gidip gelmek ,fiil,동,"Belirli bir yere düzenli olarak gidip gelmek.(okul, kurs, iş vs.)",A
다르다,farklı olmak,sıfat (fiil olarak),형,Benzerlik göstermememek; eşit olmayan.,A
다른,farklı,sıfat,관,Bir şeyin diğerlerinden ayırt edici şekilde farklı olduğunu belirtir.,A
다리,bacak,isim,명,"İnsan veya hayvanın bacağı; bazen ""köprü"" anlamında da kullanılır.",A
다리,köprü,isim,명,İki yer arasında bağlantı sağlayan yapı.,A
다섯,beş,sayı,수,Sayı olarak “beş”.,A
다섯째,beşinci,sıfat,관,Sıralamada beşinci olanı ifade eder.,A
다시,yeniden,zarf,부,"Tekrar, bir eylemin tekrarlandığını belirtir.",A
다음,sonraki,isim,명,Sıradaki veya gelecek olanı ifade eder.,A
닦다,silmek,fiil,동,Yüzeyi temizlemek veya parlatmak amacıyla silmek.,A
단어,kelime,isim,명,Dili oluşturan en küçük anlamlı birim.,A
닫다,kapatmak,fiil,동,Açık olanı kapatmak; bir kapıyı veya pencereyi kapatmak gibi.,A
달,ay,isim,명,Gökyüzündeki uydu; gece görülen cisim.,A
달,ay,isim,명,Zaman kavramı olarak 30 - 31 günlük süre. ,A
달다,tatlı olmak,fiil,형,Lezzetin tatlı olduğunu belirtir.,A
달러,dolar,isim,명,Para birimi olarak kullanılır.,A
달력,takvim,isim,명,Tarihleri gösteren düzenek.,A
닭,tavuk,isim,명,Yiyecek veya evcil hayvan olarak tavuk.,A
닭고기,tavuk eti,isim,명,Yemek için kullanılan tavuk eti.,A
담배,sigara,isim,명,Tütün ürünü; sigara anlamında kullanılır.,A
당신,"sen, siz (resmî)",zamir,대,Resmî hitaplarda kullanılır.,A
대답,cevap,isim,명,Bir soruya verilen yanıt.,A
대답하다,cevap vermek,fiil,동,Soruya yanıt verme eylemini ifade eder.,A
대사관,elçilik,isim,명,Bir ülkenin başka bir ülkedeki diplomatik temsilciliği.,A
대학,üniversite,isim,명,Yükseköğretim kurumu.,A
대학교,üniversite,isim,명,Yükseköğretim kurumu; daha resmi kullanım.,A
대학생,üniversite öğrencisi,isim,명,Üniversitede eğitim gören öğrenci.,A
대화,sohbet,isim,명,İki veya daha fazla kişi arasındaki konuşma.,A
댁,aile,isim,명,Saygılı hitap ifadesiyle ev sahibi aileyi belirtir.,A
더,daha,zarf,부,Miktar veya derecede artışı ifade eder.,A
덥다,sıcak olmak,fiil,형,Havanın veya ortamın sıcak olduğunu belirtir.,A
도서관,kütüphane,isim,명,Kitap ve bilgi kaynaklarının bulunduğu yer.,A
도시,şehir,isim,명,Büyük yerleşim yeri.,A
도와주다,yardım etmek,fiil,동,Birine yardımda bulunmak.,A
도와주다,yardım etmek,fiil,동,Birine destek olmak veya yardım etmek için kullanılır.,A
도착,varış,isim,명,Bir yere ulaşmanın sonucu.,A
도착하다,varmak,fiil,동,Bir yere ulaşmak.,A
독일,Almanya,isim,고,Ülke ismi.,A
돈,para,isim,명,Ekonomik değer taşıyan değişim aracı.,A
돌아가다,geri gitmek,fiil,동,Bir yere geri dönmek.,A
돌아오다,dönmek,fiil,동,Bir yere geri gelmek veya iyileşmek anlamında kullanılır.,A
돕다,yardım etmek,fiil,동,Birine destek olmak veya yardım etmek.,A
동물,hayvan,isim,명,Canlı varlık; hayvan alemi.,A
동생,küçük kardeş,isim,명,Ailede yaşı daha küçük olan kardeş.,A
동안,süresince,isim,명,Belirli bir zaman aralığını ifade eder.,A
동쪽,doğu,isim,명,Yön olarak doğu.,A
돼지,domuz,isim,명,Bir hayvan türü; domuz.,A
돼지고기,domuz eti,isim,명,Yemek için kullanılan domuz eti.,A
되다,olmak,fiil,동,"Bir duruma dönüşmek, haline gelmek.",A
두,iki,sayı,관,Sayı olarak “iki”.,A
둘,iki,sayı,수,Sayı olarak “iki”.,A
둘째,ikinci,sıfat,관,Sıralamada ikinci olanı ifade eder.,A
둘째,ikinci,sayı,수,Sıralama belirten sayı ifadesi.,A
뒤,arka,isim,명,Bir şeyin arka kısmı veya sonrası.,A
드리다,vermek (saygılı),fiil,동,Saygı ifadesiyle verilen eylemi belirtir.,A
듣다,duymak,fiil,동,Ses algılama; duyma eylemi.,A
들다,giriş yapmak,fiil,동,Bir yere kayıt veya giriş yapmak anlamında kullanılır.,A
들다,taşımak,fiil,동,Bir şeyi elinde tutup taşımak.,A
들어가다,girmek,fiil,동,Bir mekâna ya da gruba dahil olmak.,A
들어오다,gelmek,fiil,동,Bir yere doğru gelmek veya görünmeye başlamak.,A
등산,dağa tırmanma,isim,명,Dağlara tırmanma eylemini ifade eder.,A
따뜻하다,ılık olmak,fiil,형,"Ortamın hoş, ılık olma durumunu belirtir.",A
딸,kız evlat,isim,명,Ailedeki kız çocuğunu ifade eder.,A
딸기,çilek,isim,명,"Tatlı, kırmızı meyve; genellikle taze tüketilir.",A
때,zaman,isim,명,Belirli bir an veya dönem.,A
때문에,yüzünden,edat,의,Nedeni belirtmek için kullanılır.,A
떠나다,ayrılmak,fiil,동,Bir yerden gitmek; bazen vefat etmek anlamında da kullanılır.,A
떡,pirinç keki,isim,명,Pirinç unu ile yapılan geleneksel yiyecek.,A
또,yeniden,zarf,부,"Tekrar, bir eylemin yeniden olduğunu ifade ederken kullanılır.",A
똑같다,aynı olmak,fiil,형,İki şeyin tamamen aynı olduğunu belirtir.,A
똑바로,düzgün,zarf,부,"Doğru, kesintisiz veya düzenli şekilde yapılması.",A
뛰다,çarpmak,fiil,동,Kalbin atması; nabızın hissedilmesi anlamında kullanılır.,A
뛰다,koşmak,fiil,동,"Hızlı hareket etmek, koşu yapmak.",A
뜨겁다,çok sıcak olmak,fiil,형,Nesnenin ya da durumun aşırı sıcak olduğunu ifade eder.,A
라디오,radyo,isim,명,Radyo yayınlarını alan cihaz.,A
라면,ramen,isim,명,Anında hazırlanan erişte çorbası; popüler hazır gıda.,A
러시아,Rusya,isim,고,Ülke ismi.,A
마리,adet (hayvan sayımında),sayı,의,Hayvanları sayarken kullanılan ölçü birimi.,A
마시다,içmek,fiil,동,Sıvı tüketmek.,A
마음,kalp,isim,명,Duyguların merkezi; ruhun ifadesi.,A
마지막,son,isim,명,Bir dizinin veya sürecin bitişini ifade eder.,A
마흔,kırk,sayı,수,Sayı olarak “kırk”.,A
만,on bin,sayı,관,Sayı olarak “on bin”.,A
만나다,buluşmak,fiil,동,"Karşılaşmak, görüşmek.",A
만들다,yapmak,fiil,동,Bir şeyi oluşturmak veya imal etmek.,A
만약,"eğer, varsayalım ki",bağlaç,접속사,"Şart cümlelerinde ""eğer"" anlamında kullanılır.",A
많다,çok olmak,fiil,형,Miktarın veya sayının yüksek olduğunu belirtir.,A
많이,çok,zarf,부,Bir eylemin ya da durumun yoğun şekilde gerçekleştiğini ifade eder.,A
말,söz,isim,명,Konuşma veya kelime anlamında kullanılır.,A
말다,vazgeçmek,fiil,동,"Bir eylemi bırakmak, durdurmak anlamında kullanılır.",A
말씀,söz (saygılı),isim,명,Saygılı bir şekilde ifade edilen konuşma veya söz anlamında kullanılır.,A
말씀하다,konuşmak,fiil,동,Saygılı bir şekilde konuşma eylemini ifade eder.,A
말하다,konuşmak,fiil,동,Genel anlamda sözlü iletişim kurmayı belirtir.,A
맑다,berrak olmak,fiil,형,"Hava, su veya ruh halinin berrak, temiz olduğunu ifade eder.",A
맛,tat,isim,명,Yiyecek veya içeceğin lezzetini ifade eder.,A
맛없다,lezzetsiz olmak,fiil,형,Yiyecek ya da içeceğin tadının kötü olduğunu belirtir.,A
맛있다,lezzetli olmak,fiil,형,Yiyecek veya içeceğin hoş tat verdiğini ifade eder.,A
매우,çok,zarf,부,Yoğunluk veya derecenin yüksek olduğunu vurgular.,A
매일,her gün,isim,명,Zaman dilimi olarak her günü ifade eder.,A
매일,her gün,zarf,부,Bir eylemin düzenli olarak her gün gerçekleştiğini belirtir.,A
맥주,bira,isim,명,Alkollü içecek; genellikle serinletici olarak tüketilir.,A
맵다,acı olmak,fiil,형,"Yiyecek ya da içeceğin baharatlı, keskin tadı olduğunu ifade eder.",A
머리,baş,isim,명,Vücudun düşünme ve yön belirleme merkezi.,A
먹다,yemek,fiil,동,Besin tüketme eylemini ifade eder.,A
먼저,önce,zarf,부,Sıralamada ilk olarak gerçekleşen zamanı ifade eder.,A
멀다,uzak olmak,fiil,형,Mesafenin büyük olduğunu belirtir.,A
메뉴,menü,isim,명,Yiyecek veya içecek seçeneklerinin listelendiği belge.,A
며칠,birkaç gün,isim,명,Belirli bir süre içerisindeki gün sayısını sorgular.,A
명,kişi,ölçü birimi,의,İnsan sayısını belirtmek için kullanılır.,A
몇,kaç,belirteç,관,Miktar veya sayı sorgulamasında kullanılır.,A
